Coal(B.Kilowatt),Natrual Gas(B.Kilowatt),Nuclear(B.Kilowatt),Renewables(B.Kilowatt),Vehicles,co2
155,45,0,101,73857768.00,2541.485
185,57,0,105,73857768.00,2618.711
195,68,0,110,73857768.00,2551.219
219,80,0,110,73857768.00,2612.971
239,94,0,112,73857768.00,2489.462
301,95,0,117,73857768.00,2728.512
339,104,0,125,73857768.00,2859.995
346,114,0,134,73857768.00,2835.772
344,120,0,144,73857768.00,2747.108
378,147,0,141,73857768.00,2831.923
403,158,1,150,73857768.00,2897.315
422,169,2,156,73857768.00,2886.873
450,184,2,172,73857768.00,2993.902
494,202,3,169,73857768.00,3126.488
526,220,3,181,73857768.00,3264.313
571,222,4,197,90357667.00,3399.547
613,251,6,198,90357667.00,3571.421
630,265,8,226,90357667.00,3705.461
685,304,13,227,90357667.00,3840.919
706,333,14,254,90357667.00,4035.145
704,373,22,252,111242295.00,4339.686
713,374,38,270,111242295.00,4365.465
771,376,54,278,111242295.00,4573.015
848,341,83,278,111242295.00,4785.048
828,320,114,307,111242295.00,4621.046
853,300,173,307,137912779.00,4478.226
944,295,191,291,137912779.00,4747.762
985,306,251,228,137912779.00,4889.607
976,305,276,287,137912779.00,4941.362
1075,329,255,287,137912779.00,5008.579
1162,346,251,285,161490159.00,4808.521
1203,346,273,270,161490159.00,4686.369
1192,305,283,318,161490159.00,4447.256
1259,274,294,342,161490159.00,4429.374
1342,297,328,333,161490159.00,4662.142
1402,292,383,295,177133282.00,4652.58
1386,249,414,306,177133282.00,4663.37
1464,273,455,265,177133282.00,4825.651
1541,253,527,238,177133282.00,5050.476
1584,353,529,325,177133282.00,5132.134
1594,373,577,357,193057376.00,5122.496
1591,382,613,358,192313834.00,5064.987
1621,404,619,327,194427346.00,5175.22
1690,415,610,357,198041338.00,5274.363
1691,460,640,337,201801918.00,5365.579
1709,496,673,385,205427212.00,5427.798
1795,455,675,423,210441249.00,5616.431
1845,479,629,434,211580033.00,5691.865
1874,531,674,400,215496003.00,5737.129
1881,556,728,399,220461056.00,5810.332
1966,601,754,356,225821241.00,6016.351
1904,639,769,288,235331382.00,5911.988
1933,691,780,343,234624135.00,5952.699
1974,650,764,355,236760033.00,6015.804
1978,710,789,351,243010549.00,6117.963
2013,761,782,358,247421120.00,6137.604
1991,816,787,386,250844644.00,6057.163
2016,897,806,353,254403081.00,6135.287
1986,883,806,381,255917664.00,5918.869
1756,921,799,418,254212611.00,5482.978
1847,998,807,427,250070048.00,5681.392
1733,1014,790,513,253215681.00,5546.629
1514,1226,769,495,253639386.00,5345.454
1581,1125,789,522,255876822.00,5480.926
1582,1127,797,539,260350938.00,5528.871
1352,1333,797,544,263610219.00,5376.578
1239,1378,806,609,268799083.00,5251.757
1206,1296,805,687,272480899.00,5210.958
1146,1468,807,713,273602100.00,5376.657
996,1582,809,720,276491174.00,5259.144
